path,verdict,informative_pct,raw_pct,informative_bytes,matched,still_clean,conflict,vacuous,total_bytes,out_of_range,expanded_area,alignment_delta,uninstall_patch,md5,duplicate_of_paths
mine\Green Shirt Faris Thief.ips,ABSENT,0.0%,27.8%,265,0,261,4,102,367,0,0,0,,e259a782326c1c7763c14b8484b61a83,
mine\KrileBlueBeret.ips,PARTIAL,6.0%,25.5%,84,5,13,66,22,106,0,0,0,,c92dc888c97a70c58acb11899a55f450,
mine\KrileRedBeret (to restore Vanilla BlueMage battle sprites).ips,ABSENT,1.0%,6.6%,100,1,28,71,6,106,0,0,-512,,07b51c085b5b7b6f1f8bfa7bac39d361,
"mine\Lix & Wind Shrine path\FFV - Accessible Lix, by xJ4cks.ips",ABSENT,0.0%,3.8%,73132,0,73128,4,2895,76027,0,0,0,,1dffe7cc2000ef80be1eb362dc88babc,"mine\Lix & Wind Shrine path\Lix & Wind Shrine path.zip::FFV - Accessible Lix, by xJ4cks.ips"
"mine\Lix & Wind Shrine path\FFV - Original Lix, by xJ4cks.ips",NO-OP,-,100.0%,0,0,0,0,76028,76028,0,0,0,,d983dd7d73bf43c3aac0bfe2d76824c7,"mine\Lix & Wind Shrine path\Lix & Wind Shrine path.zip::FFV - Original Lix, by xJ4cks.ips"
mine\Original (Ugly) Shirt Faris Thief.ips,NO-OP,-,100.0%,0,0,0,0,328,328,0,0,0,,ec4a89776cd5d50d149a07503401efe1,
mine\RapidFire for Clean.ips,APPLIED,100.0%,100.0%,7,7,0,0,0,7,0,0,0,,5c1e218aaf050bf5551bde7587662a94,
mine\unchibi Jobless v1.0 (RPGe).ips,PARTIAL,91.3%,93.1%,24234,22132,384,1718,6311,30545,0,0,0,,f36fd8f8406b2096b0ecb713563a5e45,
plz sort\Cid canon sprites FFVJ - xJ4cks .ips,PARTIAL,92.5%,94.6%,586,542,23,21,236,822,0,0,0,,b6e89bcd86a354bda240dd9e2ebe1f22,
plz sort\FF5Clean Castlevania3 Font (xJ4cks & sleepyren).ips,PARTIAL,60.1%,63.4%,1347,810,24,513,119,1466,0,0,0,,d47576be861ee45fd5958415b4acf5c9,
"plz sort\FFV - Weapon 1.7 Equip for Thief, Ninja.ips",APPLIED,100.0%,100.0%,6,6,0,0,0,6,0,0,0,,f8f829ba7b92264030bd51094b801fcd,
plz sort\FFV Clean - Serity's Equip Icons upgrade.ips,PARTIAL,88.1%,92.9%,160,141,0,19,108,268,0,196,0,,3c00571fb29c8bc34aaa5de3a3028892,
"plz sort\FFV vanilla Passages, Pitfalls, DmgFloors.ips",ABSENT,0.0%,44.7%,26,0,22,4,21,47,0,0,0,,e9a7aad4ad053903ea0f57f7b2ae4d25,
plz sort\Final Fantasy V (Japan) [En by RPGe v1.1] - Whirlwind - v3.11 by clymax.ips,ABSENT,0.1%,87.0%,237565,133,225341,12091,1582163,1819728,0,1572864,0,,cd694e53b5c2e627f3774bc1a87d7a6a,
plz sort\Krile Freelancer Fixer v3 - xJ4cks .ips,APPLIED,99.3%,99.4%,824,818,2,4,204,1028,0,0,0,,ec5db3f66db1e1fb71d2a1d4ceb03b1e,
plz sort\new Krile - xJ4cks .ips,APPLIED,99.4%,99.6%,1036,1030,2,4,309,1345,0,0,0,,81d5f482fac4a0032056ea8a74c66d18,
"backups, other ppls patches\[5665]ff5_dbl_xp_gold_abp.zip::FFV Clean v195.ips",PARTIAL,67.5%,94.6%,360788,243399,17732,99657,1806815,2167603,0,1572864,0,,ed16b13679f11a657a86ca12b9066bee,
"backups, other ppls patches\[6893]ff5_nomissables_v1.0 - Tzepish.zip::ff5_nomissables_shop_price_changes.ips",ABSENT,0.0%,18.8%,69,0,69,0,16,85,0,0,0,,221230462fd9400ff7e15234381bec46,
"backups, other ppls patches\[6893]ff5_nomissables_v1.0 - Tzepish.zip::ff5_nomissables_treasure_monster_changes.ips",ABSENT,0.0%,23.3%,23,0,23,0,7,30,0,0,0,,55e30395b24b1e31816d6af850daa2b7,
"backups, other ppls patches\[6926]ff5_alljobs - Modoh.zip::ff5_alljobs.ips",ABSENT,0.0%,10.5%,17,0,13,4,2,19,0,0,0,,ad2d0175ad36cb6918f6af1c5dd28034,
"backups, other ppls patches\Game versions\[5790]Super_Custom_Classes_v100 - ludmeister + FlamePurge.zip::Super_Custom_Classes_v100.ips",PARTIAL,61.7%,68.3%,1845,1138,141,566,385,2230,0,0,0,,29177a26d63b64c4a6b917bd94c0ce4c,
"backups, other ppls patches\Game versions\Final Fantasy V-Pixel Freemaster (v4.85 by Nintenja and Various authors).7z::Final Fantasy V-Pixel Freemaster (All Jobs Unlocked not included & No 2x abp,gil,xp).ips",PARTIAL,6.9%,58.1%,290334,20067,43735,226532,355093,645427,0,0,0,,12c918ea5c7f1d19fa194a56472c53fe,
"backups, other ppls patches\Game versions\Final Fantasy V-Pixel Freemaster (v4.85 by Nintenja and Various authors).7z::Final Fantasy V-Pixel Freemaster (All Jobs Unlocked not included + 2x abp,gil,xp).ips",PARTIAL,6.9%,58.1%,290394,20067,43795,226532,355093,645487,0,0,0,,8d717e26e5eb77aa29408c76e8dcb94e,
"backups, other ppls patches\Game versions\Final Fantasy V-Pixel Freemaster (v4.85 by Nintenja and Various authors).7z::Final Fantasy V-Pixel Freemaster-Kick Butz Edition (All Jobs Unlocked Included & No 2x abp,gil,xp).ips",PARTIAL,6.9%,58.1%,290351,20067,43748,226536,355095,645446,0,0,0,,856a81d16589e6d923a9f83ffbcc4b65,
"backups, other ppls patches\Game versions\Final Fantasy V-Pixel Freemaster (v4.85 by Nintenja and Various authors).7z::Final Fantasy V-Pixel Freemaster-Kick Butz Edition (All Jobs Unlocked Included + 2x abp,gil,xp).ips",PARTIAL,6.7%,58.1%,289027,19334,43683,226010,354785,643812,0,0,0,,2ca47ae3fd3368e2be6059b81e6a4b44,
"backups, other ppls patches\真説FF5r-IC Ver.2.0.0.zip::É^ÉαFF5r-IC Ver.2.0.0/É^Éα FF5r-IC Ver.2.0.0/É^ÉαFF5r-IC Disc1.ips",ABSENT,5.0%,5.3%,80954,4015,68558,8381,261,81215,0,2250,0,,09da91794392e76aaab621f8f526ddcb,
"backups, other ppls patches\真説FF5r-IC Ver.2.0.0.zip::É^ÉαFF5r-IC Ver.2.0.0/É^Éα FF5r-IC Ver.2.0.0/É^ÉαFF5r-IC Disc2.ips",ABSENT,4.2%,4.7%,97513,4139,81462,11912,456,97969,0,4195,0,,dd98cd195a5b77c125977a5316fbbf0d,
"backups, other ppls patches\真説FF5r-IC Ver.2.0.0.zip::É^ÉαFF5r-IC Ver.2.0.0/É^Éα FF5r-IC Ver.2.0.0/É^ÉαFF5r-IC Disc3.ips",ABSENT,3.9%,4.5%,106459,4147,90091,12221,722,107181,0,5851,0,,dc25b654376178ca45090b7e1df56b64,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\._GBA Font.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\._Inus_patches.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\._Old Font.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\._PS1 Font.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\._PS1_Dash.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\GBA script patch for RPGe.zip::__MACOSX/GBA script patch for RPGe/._Bugfixes.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
"backups, other ppls patches\GBA script patch for RPGe.zip::__MACOSX/GBA script patch for RPGe/._Final Fantasy V - GBA Script Port.ips",ERROR,,,,,,,,,,,,,,missing PATCH magic
